Mot;Autre forme;Definition;Nature du mot;Francais;Anglais;;
N?? zimt? (V);;;Mba?ncob?;Murmurer;;;
Mbu??lo?? (1/6);;;L?n;Murmurer;;;
Ngabu?lo?? (1/6);;;L?n;Musicien;;;
Ncu?ni?i (1);;;L?n;Mutisme;;;
Ngàmnsi (1/6);;;L?n;Mygale;;;
Ncu??ncu? (adv);;;;Myriade;;;
Miro ;;;L?n;Myrrhe;;;
Nsà (1/6);;;L?n;Myste?re;;;
Ju?nsà (adj);;;;Myste?rieux;;;
Nu?nsà (adj);;;;Myste?rieux;;;
;;;;;;;
N??la?nts? (1);;;L?n;Nage;;;
N?? la?nts? (V);;;Mba?ncob?;Nager;;;
Nga?la?nts? (1/6);;;L?n;Nageur;;;
F??nnsi (1/6);;;L?n;Nain;;;
M?ka?mm??n (1/6);;;L?n;Nain;;;
Bw? (5/4);;;L?n;Naissance;;;
Mfa???ts?làg (1/4);;;L?n;Narine;;;
N?? bw? (V);;;Mba?ncob?;Nai?tre;;;
Ca (3/6);;;L?n;Natte;;;
Màtà? (1/6);;;L?n;Natte;;;
La?nts?ba?? (1/6);;;L?n;Navire;;;
Sitimà? (1/6);;;L?n;Navire;;;
Nca?ncag (adv);;;;Ne?gligence;;;
Nca?nc??gm??n (adv);;;;Ne?gligent;;;
Nga (3/6);;;L?n;Nerf;;;
Mbw???? (adj);;;;Neuf;;;
Nsw? (adj);;;;Neuf;;;
Mbadt?? mbw???? ;;;L?n;Neuvie?me;;;
Nk??nts?làg (1/6);;;L?n;Nez;;;
Nts?làg (1/6) ;;;L?n;Nez;;;
N?? gha (V);;;Mba?ncob?;Nier;;;
L?bngo?n (1/6);;;L?n;Noce;;;
Na?ndà (3/6);;;L?n;Noces;;;
Nco? (1/6);;;L?n;Noeud;;;
M??nn??s?n (1/6);;;L?n;Noir;;;
N?s?n (adj);;;;Noir;;;
S?nnk?d (adj);;;;Noir;;;
N?? gh?? ju s??n (V);;;Mba?ncob?;Noircir;;;
N?? ka??? s?n? (V);;;Mba?ncob?;Noircir;;;
Mba (3/4);;;L?n;Noix;;;
L?n (3/4);;;L?n;Nom;;;
K??t?tu?n (1/6);;;L?n;Nomade;;;
T?nt?? (1/6);;;L?n;Nombre;;;
T?? (5/4) ;;;L?n;Nombril;;;
N??so?l?n (1/6);;;L?n;Nomination;;;
N?? twi? l?n (V);;;Mba?ncob?;Nommer;;;
N?? yàb l?n (V);;;Mba?ncob?;Nommer;;;
N?? tsia? l?n (V);;;Mba?ncob?;Nommer;;;
N?? fàl?n (V);;;Mba?ncob?;Nommer;;;
Nga (adv);;;;Non;;;
???(adv);;;;Non;;;
Nkam? (1/6);;;L?n;Notable;;;
Nk??ba? (3/4);;;L?n;Note;;;
N?? co?? (V);;;Mba?ncob?;Nouer;;;
N?? kem? (V);;;Mba?ncob?;Nourrir;;;
M??nmbu (1/6);;;L?n;Nourrisson;;;
M??nfi (1/6);;;L?n;Nourrisson;;;
Ju?j? (3/6);;;L?n;Nourriture;;;
